carat	cut	color	clarity	depth	table	price	x	y	z
2.19	Ideal	I	SI2	61.5	57.0	15509	8.31	8.44	5.15
1.5	Good	I	SI1	64.0	60.0	8736	7.25	7.13	4.6
0.7	Ideal	G	VVS2	61.6	57.0	3725	5.74	5.71	3.53
2.0	Premium	J	I1	61.5	59.0	5051	8.11	8.06	4.97
0.51	Premium	F	SI2	62.8	60.0	1036	5.1	5.03	3.18
0.41	Premium	H	VVS1	61.4	60.0	1115	4.78	4.73	2.92
0.37	Premium	D	VVS1	61.4	58.0	1069	4.63	4.65	2.85
0.43	Ideal	G	IF	62.1	54.0	1433	4.83	4.87	3.01
0.35	Ideal	E	VVS1	61.7	54.0	1000	4.56	4.58	2.82
0.33	Premium	G	VS1	60.3	59.0	666	4.44	4.52	2.7
0.57	Ideal	E	VVS1	62.3	53.5	2632	5.29	5.33	3.31
0.3	Ideal	H	SI1	62.1	56.0	465	4.3	4.32	2.67
0.8	Very Good	J	VS1	62.7	58.0	2487	5.91	5.95	3.72
0.9	Premium	H	VS2	61.8	58.0	4155	6.12	6.17	3.8
2.6	Fair	G	SI2	64.6	57.0	17027	8.6	8.55	5.54
0.32	Premium	F	VS2	59.4	58.0	645	4.44	4.48	2.65
0.35	Ideal	F	SI1	61.5	54.0	552	4.54	4.6	2.81
0.51	Ideal	D	SI1	61.7	55.0	1569	5.11	5.16	3.17
1.27	Premium	H	VS2	60.7	58.0	7496	7.04	6.97	4.25
0.42	Premium	G	VVS1	59.3	59.0	1235	4.92	4.9	2.91
0.32	Ideal	I	SI1	62.4	57.0	554	4.37	4.35	2.72
0.27	Very Good	E	SI1	61.2	57.0	407	4.2	4.23	2.58
0.4	Very Good	I	SI1	59.8	57.0	596	4.8	4.83	2.88
0.9	Very Good	G	VS1	61.3	61.0	4515	6.15	6.25	3.8
1.0	Ideal	G	VVS2	61.1	58.0	9294	6.43	6.47	3.94
1.0	Premium	G	SI1	60.8	58.0	4816	6.48	6.45	3.93
0.91	Ideal	F	VS2	62.6	55.0	5261	6.2	6.23	3.89
2.14	Premium	J	SI2	61.5	59.0	13205	8.25	8.3	5.11
1.2	Premium	I	VVS2	63.0	60.0	5376	6.71	6.63	4.2
0.7	Very Good	F	SI1	62.6	59.0	2161	5.64	5.7	3.55
0.84	Premium	E	VS1	59.7	59.0	4318	6.16	6.13	3.67
1.54	Premium	I	SI2	60.1	61.0	7727	7.46	7.41	4.47
0.3	Premium	F	VS1	59.8	60.0	799	4.39	4.31	2.6
